Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse10,AC12,2,1.676,0.593,0.32,0.403,0.411,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC1,4,2.033,0.889,0.36,0.508,0.518,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC2,3,1.274,0.421,0.16,0.215,0.22,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC3,3,1.39,0.546,0.24,0.281,0.287,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC4,5,1.972,0.97,0,0.493,0.503,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC7,5,3.117,1.304,0.44,0.679,0.693,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC8,3,2.289,0.909,0.32,0.563,0.575,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC9,4,3.086,1.235,0.44,0.676,0.69,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense1,AC12,3,1.334,0.501,0.04,0.25,0.256,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC1,4,1.959,0.915,0.28,0.49,0.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC2,3,1.432,0.534,0.2,0.302,0.308,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC3,2,1.368,0.44,0.32,0.269,0.274,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC4,12,6.039,2.084,0.2,0.834,0.851,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC7,5,3.165,1.29,0.52,0.684,0.698,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC8,4,3.165,1.211,0.28,0.684,0.698,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC9,4,2.927,1.143,0.4,0.658,0.672,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense2,AC12,2,1.676,0.593,0.16,0.403,0.411,1,2,,,,,,,,,,,,,,,,,,,,,,,,
